college_id,name,height,weight
534458,Amari Cooper,73,211
546052,Kevin White,75,215
511615,DeVante Parker,75,209
531010,Nelson Agholor,72,198
531670,Breshad Perriman,74,212
517570,Phillip Dorsett,70,185
514181,Devin Smith,72,196
2971433,Dorial Green-Beckham,77,237
535145,Devin Funchess,76,232
515181,Tyler Lockett,70,182
535497,Corey Coleman,71,194
-1026400,Will Fuller,72,186
516301,Josh Doctson,74,202
550014,Laquon Treadwell,74,221
534448,Sterling Shepard,70,194
534311,Michael Thomas,75,212
546650,Tyler Boyd,74,197
512838,Braxton Miller,73,201
537313,Leonte Carroo,72,211
512073,Chris Moore,73,206
545923,Corey Davis,75,209
546644,Mike Williams,76,218
550330,John Ross,71,188
4044154,Zay Jones,74,201
3121427,Curtis Samuel,71,196
3120348,JuJu Smith-Schuster,73,215
534695,Cooper Kupp,74,204
552775,Taywan Taylor,71,203
551307,ArDarius Stewart,71,204
545669,Carlos Henderson,71,199
3915416,D.J. Moore,72,210
3925357,Calvin Ridley,73,189
3128429,Courtland Sutton,75,218
3127306,Dante Pettis,73,186
3895856,Christian Kirk,70,201
549623,Anthony Miller,71,201
3122449,James Washington,71,213
559613,D.J. Chark,75,199
4036348,Michael Gallup,73,205
3128451,Tre'Quan Smith,74,210
4241372,Marquise Brown,69,166
4047839,N'Keal Harry,74,228
3126486,Deebo Samuel,71,214
4047646,A.J. Brown,73,226
4035004,Mecole Hardman,70,187
3931397,JJ Arcega-Whiteside,74,225
3121410,Parris Campbell,72,205
3914328,Andy Isabella,69,188
4047650,DK Metcalf,75,228
3932905,Diontae Johnson,71,183
4241475,Henry Ruggs III,71,188
4241463,Jerry Jeudy,73,193
4241389,CeeDee Lamb,74,198
4241802,Jalen Reagor,71,206
4262921,Justin Jefferson,73,202
4360438,Brandon Aiyuk,72,205
4239993,Tee Higgins,76,216
4035687,Michael Pittman Jr.,76,223
4243160,Laviska Shenault Jr.,73,227
4240380,KJ Hamler,69,176
4362628,Ja'Marr Chase,72,201
4372016,Jaylen Waddle,70,180
4241478,DeVonta Smith,72,170
4240600,Kadarius Toney,72,193
4360939,Rashod Bateman,72,190
4372414,Elijah Moore,70,178
4372485,Rondale Moore,67,181
4043016,D'Wayne Eskridge,69,190
4360797,Tutu Atwell,69,155
4362630,Terrace Marshall Jr.,75,205
4426502,Drake London,76,219
4569618,Garrett Wilson,72,183
4361370,Chris Olave,72,187
4426388,Jameson Williams,74,179
4361409,Jahan Dotson,71,178
4567156,Treylon Burks,74,225
4248528,Christian Watson,76,208
4569587,Wan'Dale Robinson,68,178
4567096,John Metchie III,71,187
4362921,Tyquan Thornton,74,181
4430878,Jaxon Smith-Njigba,73,196
4429025,Quentin Johnston,75,208
4429615,Zay Flowers,69,182
4429205,Jordan Addison,71,173
4426485,Jonathan Mingo,74,220
4362249,Jayden Reed,71,187
4428331,Rashee Rice,73,204
4686472,Marvin Mims,71,183
4366031,Nathaniel Dell,68,165
4692590,Jalin Hyatt,72,176
4432708,Marvin Harrison Jr.,75,209
4595348,Malik Nabers,72,199
4431299,Rome Odunze,75,212
4432773,Brian Thomas Jr.,75,209
4683062,Xavier Worthy,71,165
4428209,Ricky Pearsall,73,189
4430034,Xavier Legette,73,221
4635008,Keon Coleman,75,213
4612826,Ladd McConkey,72,186
4430637,Ja'Lynn Polk,73,203
